locus_tag	ftype	gene	EC_number	product
DBLOAMIM_00100	gene	dppB_1		
DBLOAMIM_00101	CDS	oppC_1		Oligopeptide transport system permease protein OppC
DBLOAMIM_00101	gene	oppC_1		
DBLOAMIM_00102	CDS	gph_1	3.1.3.18	Phosphoglycolate phosphatase
DBLOAMIM_00102	gene	gph_1		
DBLOAMIM_00103	CDS			hypothetical protein
DBLOAMIM_00103	gene			
DBLOAMIM_00104	CDS			hypothetical protein
DBLOAMIM_00104	gene			
DBLOAMIM_00105	CDS	atpB		ATP synthase subunit a
DBLOAMIM_00105	gene	atpB		
DBLOAMIM_00106	CDS	atpE		ATP synthase subunit c, sodium ion specific
DBLOAMIM_00106	gene	atpE		
DBLOAMIM_00107	CDS	atpF		ATP synthase subunit b, sodium ion specific
DBLOAMIM_00107	gene	atpF		
DBLOAMIM_00108	CDS	atpH		ATP synthase subunit delta
DBLOAMIM_00108	gene	atpH		
DBLOAMIM_00109	CDS	atpA	3.6.3.14	ATP synthase subunit alpha
DBLOAMIM_00109	gene	atpA		
DBLOAMIM_00110	CDS	atpG		ATP synthase gamma chain
DBLOAMIM_00110	gene	atpG		
DBLOAMIM_00111	CDS	atpD1	3.6.3.14	ATP synthase subunit beta 1
DBLOAMIM_00111	gene	atpD1		
DBLOAMIM_00112	CDS	atpC		ATP synthase epsilon chain
DBLOAMIM_00112	gene	atpC		
DBLOAMIM_00113	CDS	gloC	3.1.2.6	Hydroxyacylglutathione hydrolase GloC
DBLOAMIM_00113	gene	gloC		
DBLOAMIM_00114	CDS			hypothetical protein
DBLOAMIM_00114	gene			
DBLOAMIM_00115	tRNA			tRNA-Pro(tgg)
DBLOAMIM_00115	gene			
DBLOAMIM_00116	CDS			hypothetical protein
	sig_peptide			putative signal peptide
DBLOAMIM_00116	gene			
DBLOAMIM_00117	CDS	arlR		Response regulator ArlR
DBLOAMIM_00117	gene	arlR		
DBLOAMIM_00118	CDS	walK	2.7.13.3	Sensor protein kinase WalK
DBLOAMIM_00118	gene	walK		
DBLOAMIM_00119	CDS			hypothetical protein
DBLOAMIM_00119	gene			
DBLOAMIM_00120	CDS	bamB_1		Outer membrane protein assembly factor BamB
DBLOAMIM_00120	gene	bamB_1		
DBLOAMIM_00121	CDS	clcD	3.1.1.45	Carboxymethylenebutenolidase
DBLOAMIM_00121	gene	clcD		
DBLOAMIM_00122	CDS			hypothetical protein
DBLOAMIM_00122	gene			
DBLOAMIM_00123	CDS	lpxH	3.6.1.54	UDP-2,3-diacylglucosamine hydrolase
DBLOAMIM_00123	gene	lpxH		
DBLOAMIM_00124	CDS	ugtP	2.4.1.315	Processive diacylglycerol beta-glucosyltransferase
DBLOAMIM_00124	gene	ugtP		
DBLOAMIM_00125	CDS			hypothetical protein
DBLOAMIM_00125	gene			
DBLOAMIM_00126	CDS	gloA	4.4.1.5	Lactoylglutathione lyase
DBLOAMIM_00126	gene	gloA		
DBLOAMIM_00127	CDS	acsA	6.2.1.1	Acetyl-coenzyme A synthetase
DBLOAMIM_00127	gene	acsA		
DBLOAMIM_00128	CDS	thiG	2.8.1.10	Thiazole synthase
DBLOAMIM_00128	gene	thiG		
DBLOAMIM_00129	CDS	tenI	5.3.99.10	Thiazole tautomerase
DBLOAMIM_00129	gene	tenI		
DBLOAMIM_00130	CDS	mepM_1	3.4.24.-	Murein DD-endopeptidase MepM
	sig_peptide			putative signal peptide
DBLOAMIM_00130	gene	mepM_1		
DBLOAMIM_00131	CDS	thiD	2.7.1.49	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
DBLOAMIM_00131	gene	thiD		
DBLOAMIM_00132	CDS	dosP	3.1.4.52	Oxygen sensor protein DosP
DBLOAMIM_00132	gene	dosP		
DBLOAMIM_00133	CDS	thrZ	6.1.1.3	Threonine--tRNA ligase 2
DBLOAMIM_00133	gene	thrZ		
DBLOAMIM_00134	CDS	infC		Translation initiation factor IF-3
DBLOAMIM_00134	gene	infC		
DBLOAMIM_00135	CDS	rpmI		50S ribosomal protein L35
DBLOAMIM_00135	gene	rpmI		
DBLOAMIM_00136	CDS	rplT		50S ribosomal protein L20
DBLOAMIM_00136	gene	rplT		
DBLOAMIM_00137	CDS	pheT	6.1.1.20	Phenylalanine--tRNA ligase beta subunit
DBLOAMIM_00137	gene	pheT		
DBLOAMIM_00138	CDS	pheS	6.1.1.20	Phenylalanine--tRNA ligase alpha subunit
DBLOAMIM_00138	gene	pheS		
DBLOAMIM_00139	CDS	oppF		Oligopeptide transport ATP-binding protein OppF
DBLOAMIM_00139	gene	oppF		
DBLOAMIM_00140	CDS			putative ABC transporter ATP-binding protein
DBLOAMIM_00140	gene			
DBLOAMIM_00141	CDS	queD	4.1.2.50	6-carboxy-5,6,7,8-tetrahydropterin synthase
DBLOAMIM_00141	gene	queD		
DBLOAMIM_00142	CDS			hypothetical protein
DBLOAMIM_00142	gene			
DBLOAMIM_00143	CDS			Ycf48-like protein
DBLOAMIM_00143	gene			
DBLOAMIM_00144	CDS	fur		Ferric uptake regulation protein
DBLOAMIM_00144	gene	fur		
DBLOAMIM_00145	CDS	rplU		50S ribosomal protein L21
DBLOAMIM_00145	gene	rplU		
DBLOAMIM_00146	CDS	rpmA		50S ribosomal protein L27
DBLOAMIM_00146	gene	rpmA		
DBLOAMIM_00147	CDS	obg	3.6.5.-	GTPase Obg
DBLOAMIM_00147	gene	obg		
DBLOAMIM_00148	CDS	proB	2.7.2.11	Glutamate 5-kinase
DBLOAMIM_00148	gene	proB		
DBLOAMIM_00149	CDS	proA	1.2.1.41	Gamma-glutamyl phosphate reductase
DBLOAMIM_00149	gene	proA		
DBLOAMIM_00150	CDS	nadD	2.7.7.18	Nicotinate-nucleotide adenylyltransferase
DBLOAMIM_00150	gene	nadD		
DBLOAMIM_00151	CDS	rsfS		Ribosomal silencing factor RsfS
DBLOAMIM_00151	gene	rsfS		
DBLOAMIM_00152	CDS	lapB_1		Lipopolysaccharide assembly protein B
DBLOAMIM_00152	gene	lapB_1		
DBLOAMIM_00153	CDS	pyrE_2	2.4.2.10	Orotate phosphoribosyltransferase
DBLOAMIM_00153	gene	pyrE_2		
DBLOAMIM_00154	CDS	dinG	3.6.4.12	putative ATP-dependent helicase DinG
DBLOAMIM_00154	gene	dinG		
DBLOAMIM_00155	CDS	cmpR_1		HTH-type transcriptional activator CmpR
DBLOAMIM_00155	gene	cmpR_1		
DBLOAMIM_00156	CDS			hypothetical protein
DBLOAMIM_00156	gene			
DBLOAMIM_00157	CDS			hypothetical protein
DBLOAMIM_00157	gene			
DBLOAMIM_00158	CDS	yccA		Modulator of FtsH protease YccA
DBLOAMIM_00158	gene	yccA		
DBLOAMIM_00159	CDS	ilvE_1	2.6.1.42	Branched-chain-amino-acid aminotransferase
DBLOAMIM_00159	gene	ilvE_1		
DBLOAMIM_00160	CDS	polA	2.7.7.7	DNA polymerase I, thermostable
DBLOAMIM_00160	gene	polA		
DBLOAMIM_00161	CDS			hypothetical protein
DBLOAMIM_00161	gene			
DBLOAMIM_00162	CDS			hypothetical protein
DBLOAMIM_00162	gene			
DBLOAMIM_00163	CDS	coaE	2.7.1.24	Dephospho-CoA kinase
DBLOAMIM_00163	gene	coaE		
DBLOAMIM_00164	CDS	gtaB_1	2.7.7.9	UTP--glucose-1-phosphate uridylyltransferase
DBLOAMIM_00164	gene	gtaB_1		
DBLOAMIM_00165	CDS	lon	3.4.21.53	Lon protease
DBLOAMIM_00165	gene	lon		
DBLOAMIM_00166	CDS	thiL	2.7.4.16	Thiamine-monophosphate kinase
DBLOAMIM_00166	gene	thiL		
DBLOAMIM_00167	CDS			hypothetical protein
DBLOAMIM_00167	gene			
DBLOAMIM_00168	CDS	pal_1		Peptidoglycan-associated lipoprotein
DBLOAMIM_00168	gene	pal_1		
	sig_peptide			putative signal peptide
DBLOAMIM_00169	CDS	pal_2		Peptidoglycan-associated lipoprotein
DBLOAMIM_00169	gene	pal_2		
	sig_peptide			putative signal peptide
DBLOAMIM_00170	CDS			hypothetical protein
DBLOAMIM_00170	gene			
	sig_peptide			putative signal peptide
DBLOAMIM_00171	CDS	rnr	3.1.13.1	Ribonuclease R
DBLOAMIM_00171	gene	rnr		
DBLOAMIM_00172	CDS			hypothetical protein
DBLOAMIM_00172	gene			
	sig_peptide			putative signal peptide
DBLOAMIM_00173	CDS			hypothetical protein
DBLOAMIM_00173	gene			
DBLOAMIM_00174	CDS			hypothetical protein
DBLOAMIM_00174	gene			
DBLOAMIM_00175	CDS			hypothetical protein
DBLOAMIM_00175	gene			
DBLOAMIM_00176	CDS			Light-activated DNA-binding protein EL222
DBLOAMIM_00176	gene			
DBLOAMIM_00177	CDS			hypothetical protein
DBLOAMIM_00177	gene			
DBLOAMIM_00178	CDS			hypothetical protein
DBLOAMIM_00178	gene			
DBLOAMIM_00179	tRNA			tRNA-Met(cat)
DBLOAMIM_00179	gene			
DBLOAMIM_00180	CDS	lpd	1.8.1.4	Dihydrolipoyl dehydrogenase
DBLOAMIM_00180	gene	lpd		
DBLOAMIM_00181	CDS			hypothetical protein
DBLOAMIM_00181	gene			
DBLOAMIM_00182	CDS			hypothetical protein
DBLOAMIM_00182	gene			
DBLOAMIM_00183	CDS	sapM	3.1.3.64	Phosphatidylinositol-3-phosphatase
DBLOAMIM_00183	gene	sapM		
DBLOAMIM_00184	CDS			hypothetical protein
DBLOAMIM_00184	gene			
DBLOAMIM_00185	CDS			hypothetical protein
DBLOAMIM_00185	gene			
DBLOAMIM_00186	CDS	tusA_1	2.8.1.-	Sulfurtransferase TusA
DBLOAMIM_00186	gene	tusA_1		
DBLOAMIM_00187	CDS		3.1.4.-	3'3'-cGAMP-specific phosphodiesterase 2
DBLOAMIM_00187	gene			
DBLOAMIM_00188	CDS	trpD	2.4.2.18	Anthranilate phosphoribosyltransferase
DBLOAMIM_00188	gene	trpD		
DBLOAMIM_00189	CDS	mazG	3.6.1.8	Nucleoside triphosphate pyrophosphohydrolase
DBLOAMIM_00189	gene	mazG		
DBLOAMIM_00190	CDS			hypothetical protein
DBLOAMIM_00190	gene			
DBLOAMIM_00191	CDS	mopR		Phenol regulator MopR
DBLOAMIM_00191	gene	mopR		
DBLOAMIM_00192	tRNA			tRNA-Ser(cga)
DBLOAMIM_00192	gene			
DBLOAMIM_00193	CDS			hypothetical protein
DBLOAMIM_00193	gene			
DBLOAMIM_00194	tRNA			tRNA-Ser(tga)
DBLOAMIM_00194	gene			
DBLOAMIM_00195	tRNA			tRNA-Ser(gct)
DBLOAMIM_00195	gene			
DBLOAMIM_00196	CDS	mscK		Mechanosensitive channel MscK
DBLOAMIM_00196	gene	mscK		
DBLOAMIM_00197	CDS	prfC		Peptide chain release factor 3
DBLOAMIM_00197	gene	prfC		
DBLOAMIM_00198	CDS	recR		Recombination protein RecR
DBLOAMIM_00198	gene	recR		
DBLOAMIM_00199	CDS			Nucleoid-associated protein
DBLOAMIM_00199	gene			
DBLOAMIM_00200	CDS	dnaX_1	2.7.7.7	DNA polymerase III subunit tau
DBLOAMIM_00200	gene	dnaX_1		
DBLOAMIM_00201	misc_RNA			Bacteria_large_SRP
DBLOAMIM_00201	gene			
DBLOAMIM_00202	misc_RNA			Bacteria_small_SRP
DBLOAMIM_00202	gene			
DBLOAMIM_00203	tRNA			tRNA-Ser(gga)
DBLOAMIM_00203	gene			
DBLOAMIM_00204	CDS			hypothetical protein
DBLOAMIM_00204	gene			
DBLOAMIM_00205	CDS			hypothetical protein
DBLOAMIM_00205	gene			
DBLOAMIM_00206	CDS			hypothetical protein
DBLOAMIM_00206	gene			
DBLOAMIM_00207	CDS	tusA_2	2.8.1.-	Sulfurtransferase TusA
DBLOAMIM_00207	gene	tusA_2		
DBLOAMIM_00208	CDS			hypothetical protein
DBLOAMIM_00208	gene			
DBLOAMIM_00209	CDS			hypothetical protein
DBLOAMIM_00209	gene			
DBLOAMIM_00210	CDS			hypothetical protein
DBLOAMIM_00210	gene			
DBLOAMIM_00211	CDS			hypothetical protein
DBLOAMIM_00211	gene			
DBLOAMIM_00212	CDS	tolC_1		Outer membrane protein TolC
DBLOAMIM_00212	gene	tolC_1		
DBLOAMIM_00213	CDS	cusB_1		Cation efflux system protein CusB
DBLOAMIM_00213	gene	cusB_1		
DBLOAMIM_00214	CDS	czcA_1		Cobalt-zinc-cadmium resistance protein CzcA
DBLOAMIM_00214	gene	czcA_1		
DBLOAMIM_00215	CDS	ygiD	1.13.11.29	4,5-DOPA dioxygenase extradiol
DBLOAMIM_00215	gene	ygiD		
DBLOAMIM_00216	CDS	dksA		RNA polymerase-binding transcription factor DksA
DBLOAMIM_00216	gene	dksA		
DBLOAMIM_00217	CDS	yciK	1.-.-.-	putative oxidoreductase YciK
DBLOAMIM_00217	gene	yciK		
DBLOAMIM_00218	CDS			hypothetical protein
DBLOAMIM_00218	gene			
DBLOAMIM_00219	CDS	dapF	5.1.1.7	Diaminopimelate epimerase
DBLOAMIM_00219	gene	dapF		
DBLOAMIM_00220	CDS			hypothetical protein
DBLOAMIM_00220	gene			
DBLOAMIM_00221	CDS			hypothetical protein
DBLOAMIM_00221	gene			
DBLOAMIM_00222	CDS	ykuV_1	1.8.-.-	Thiol-disulfide oxidoreductase YkuV
DBLOAMIM_00222	gene	ykuV_1		
DBLOAMIM_00223	CDS			hypothetical protein
DBLOAMIM_00223	gene			
DBLOAMIM_00224	CDS	trmI	2.1.1.220	tRNA (adenine(58)-N(1))-methyltransferase TrmI
DBLOAMIM_00224	gene	trmI		
DBLOAMIM_00225	CDS			hypothetical protein
DBLOAMIM_00225	gene			
DBLOAMIM_00226	CDS	moeZ_1		putative adenylyltransferase/sulfurtransferase MoeZ
DBLOAMIM_00226	gene	moeZ_1		
DBLOAMIM_00227	CDS			hypothetical protein
DBLOAMIM_00227	gene			
	sig_peptide			putative signal peptide
DBLOAMIM_00228	CDS	modA_1		Molybdate-binding protein
DBLOAMIM_00228	gene	modA_1		
DBLOAMIM_00229	CDS			hypothetical protein
	sig_peptide			putative signal peptide
DBLOAMIM_00229	gene			
DBLOAMIM_00230	CDS	mcpH		Methyl-accepting chemotaxis protein McpH
DBLOAMIM_00230	gene	mcpH		
DBLOAMIM_00231	CDS			hypothetical protein
DBLOAMIM_00231	gene			
DBLOAMIM_00232	CDS			hypothetical protein
DBLOAMIM_00232	gene			
DBLOAMIM_00233	CDS			hypothetical protein
DBLOAMIM_00233	gene			
DBLOAMIM_00234	CDS	gcvT_1	2.1.2.10	Aminomethyltransferase
DBLOAMIM_00234	gene	gcvT_1		
DBLOAMIM_00235	CDS	gcvT_2	2.1.2.10	Aminomethyltransferase
DBLOAMIM_00235	gene	gcvT_2		
DBLOAMIM_00236	CDS	gcvH		Glycine cleavage system H protein
DBLOAMIM_00236	gene	gcvH		
DBLOAMIM_00237	CDS	gcvPA	1.4.4.2	putative glycine dehydrogenase (decarboxylating) subunit 1
DBLOAMIM_00237	gene	gcvPA		
DBLOAMIM_00238	CDS	gcvPB	1.4.4.2	putative glycine dehydrogenase (decarboxylating) subunit 2
DBLOAMIM_00238	gene	gcvPB		
DBLOAMIM_00239	CDS	lipM	2.3.1.181	Octanoyltransferase LipM
DBLOAMIM_00239	gene	lipM		
DBLOAMIM_00240	CDS			hypothetical protein
DBLOAMIM_00240	gene			
DBLOAMIM_00241	CDS			hypothetical protein
DBLOAMIM_00241	gene			
DBLOAMIM_00242	CDS			hypothetical protein
DBLOAMIM_00242	gene			
DBLOAMIM_00243	CDS	queG	1.17.99.6	Epoxyqueuosine reductase
DBLOAMIM_00243	gene	queG		
DBLOAMIM_00244	CDS	zraR_2		Transcriptional regulatory protein ZraR
DBLOAMIM_00244	gene	zraR_2		
DBLOAMIM_00245	CDS			hypothetical protein
DBLOAMIM_00245	gene			
DBLOAMIM_00246	CDS	zraS_1	2.7.13.3	Sensor protein ZraS
DBLOAMIM_00246	gene	zraS_1		
DBLOAMIM_00247	CDS	zraR_3		Transcriptional regulatory protein ZraR
DBLOAMIM_00247	gene	zraR_3		
DBLOAMIM_00248	CDS	flgB		Flagellar basal body rod protein FlgB
DBLOAMIM_00248	gene	flgB		
DBLOAMIM_00249	CDS	flgC		Flagellar basal-body rod protein FlgC
DBLOAMIM_00249	gene	flgC		
DBLOAMIM_00250	CDS	fliE		Flagellar hook-basal body complex protein FliE
DBLOAMIM_00250	gene	fliE		
DBLOAMIM_00251	CDS	fliF		Flagellar M-ring protein
DBLOAMIM_00251	gene	fliF		
DBLOAMIM_00252	CDS	fliG		Flagellar motor switch protein FliG
DBLOAMIM_00252	gene	fliG		
DBLOAMIM_00253	CDS			hypothetical protein
DBLOAMIM_00253	gene			
